entry,exit,total_return,annualized,max_dd,trades,win_rate,calmar
双均线金叉,跌破均线/吊灯ATR/移动止盈/唐奇安下轨/双均线死叉,9.48,0.85,-8.15,8,50.0,0.1
双均线金叉,跌破均线&吊灯ATR&移动止盈&唐奇安下轨&双均线死叉,28.42,2.37,-31.46,6,33.33,0.08
唐奇安突破,跌破均线,88.44,6.12,-27.44,53,39.62,0.22
唐奇安突破,吊灯ATR,55.42,4.22,-35.16,41,26.83,0.12
唐奇安突破,移动止盈,35.73,2.91,-40.66,20,45.0,0.07
唐奇安突破,唐奇安下轨,94.45,6.43,-36.37,42,30.95,0.18
唐奇安突破,双均线死叉,19.47,1.68,-48.66,66,48.48,0.03
唐奇安突破,跌破均线/吊灯ATR,78.39,5.58,-27.44,54,38.89,0.2
唐奇安突破,跌破均线&吊灯ATR,64.18,4.76,-35.16,40,27.5,0.14
唐奇安突破,跌破均线/移动止盈,81.33,5.74,-27.44,53,39.62,0.21
唐奇安突破,跌破均线&移动止盈,55.36,4.22,-40.66,19,47.37,0.1
唐奇安突破,跌破均线/唐奇安下轨,88.44,6.12,-27.44,53,39.62,0.22
唐奇安突破,跌破均线&唐奇安下轨,94.45,6.43,-36.37,42,30.95,0.18
唐奇安突破,跌破均线/双均线死叉,55.52,4.23,-26.63,88,47.73,0.16
唐奇安突破,跌破均线&双均线死叉,79.95,5.66,-48.66,26,34.62,0.12
唐奇安突破,吊灯ATR/移动止盈,55.42,4.22,-35.16,41,26.83,0.12
唐奇安突破,吊灯ATR&移动止盈,35.73,2.91,-40.66,20,45.0,0.07
唐奇安突破,吊灯ATR/唐奇安下轨,58.12,4.39,-34.4,47,29.79,0.13
唐奇安突破,吊灯ATR&唐奇安下轨,84.53,5.91,-38.28,36,30.56,0.15
唐奇安突破,吊灯ATR/双均线死叉,28.66,2.39,-31.66,83,40.96,0.08
唐奇安突破,吊灯ATR&双均线死叉,44.12,3.49,-54.94,25,32.0,0.06
唐奇安突破,移动止盈/唐奇安下轨,74.01,5.33,-36.37,43,30.23,0.15
唐奇安突破,移动止盈&唐奇安下轨,48.76,3.79,-41.8,19,47.37,0.09
唐奇安突破,移动止盈/双均线死叉,8.24,0.74,-45.46,74,44.59,0.02
唐奇安突破,移动止盈&双均线死叉,42.76,3.39,-51.81,15,40.0,0.07
唐奇安突破,唐奇安下轨/双均线死叉,46.38,3.64,-28.2,82,43.9,0.13
唐奇安突破,唐奇安下轨&双均线死叉,72.52,5.25,-50.41,21,23.81,0.1
唐奇安突破,跌破均线/吊灯ATR/移动止盈,78.39,5.58,-27.44,54,38.89,0.2
唐奇安突破,跌破均线&吊灯ATR&移动止盈,55.36,4.22,-40.66,19,47.37,0.1
唐奇安突破,跌破均线/吊灯ATR/唐奇安下轨,78.39,5.58,-27.44,54,38.89,0.2
唐奇安突破,跌破均线&吊灯ATR&唐奇安下轨,84.53,5.91,-38.28,36,30.56,0.15
唐奇安突破,跌破均线/吊灯ATR/双均线死叉,45.79,3.6,-26.28,89,47.19,0.14
唐奇安突破,跌破均线&吊灯ATR&双均线死叉,61.24,4.58,-54.21,22,31.82,0.08
唐奇安突破,跌破均线/移动止盈/唐奇安下轨,81.33,5.74,-27.44,53,39.62,0.21
唐奇安突破,跌破均线&移动止盈&唐奇安下轨,48.76,3.79,-41.8,19,47.37,0.09
唐奇安突破,跌破均线/移动止盈/双均线死叉,55.52,4.23,-26.63,88,47.73,0.16
唐奇安突破,跌破均线&移动止盈&双均线死叉,62.22,4.64,-51.04,13,38.46,0.09
唐奇安突破,跌破均线/唐奇安下轨/双均线死叉,55.52,4.23,-26.63,88,47.73,0.16
唐奇安突破,跌破均线&唐奇安下轨&双均线死叉,72.52,5.25,-50.41,21,23.81,0.1
唐奇安突破,吊灯ATR/移动止盈/唐奇安下轨,58.12,4.39,-34.4,47,29.79,0.13
唐奇安突破,吊灯ATR&移动止盈&唐奇安下轨,48.76,3.79,-41.8,19,47.37,0.09
唐奇安突破,吊灯ATR/移动止盈/双均线死叉,28.66,2.39,-31.66,83,40.96,0.08
唐奇安突破,吊灯ATR&移动止盈&双均线死叉,42.76,3.39,-51.81,15,40.0,0.07
唐奇安突破,吊灯ATR/唐奇安下轨/双均线死叉,26.1,2.2,-33.17,86,43.02,0.07
唐奇安突破,吊灯ATR&唐奇安下轨&双均线死叉,54.51,4.16,-54.56,20,25.0,0.08
唐奇安突破,移动止盈/唐奇安下轨/双均线死叉,46.38,3.64,-28.2,82,43.9,0.13
唐奇安突破,移动止盈&唐奇安下轨&双均线死叉,61.19,4.58,-51.48,12,41.67,0.09
唐奇安突破,跌破均线/吊灯ATR/移动止盈/唐奇安下轨,78.39,5.58,-27.44,54,38.89,0.2
唐奇安突破,跌破均线&吊灯ATR&移动止盈&唐奇安下轨,48.76,3.79,-41.8,19,47.37,0.09
唐奇安突破,跌破均线/吊灯ATR/移动止盈/双均线死叉,45.79,3.6,-26.28,89,47.19,0.14
唐奇安突破,跌破均线&吊灯ATR&移动止盈&双均线死叉,62.22,4.64,-51.04,13,38.46,0.09
唐奇安突破,跌破均线/吊灯ATR/唐奇安下轨/双均线死叉,45.79,3.6,-26.28,89,47.19,0.14
唐奇安突破,跌破均线&吊灯ATR&唐奇安下轨&双均线死叉,54.51,4.16,-54.56,20,25.0,0.08
唐奇安突破,跌破均线/移动止盈/唐奇安下轨/双均线死叉,55.52,4.23,-26.63,88,47.73,0.16
唐奇安突破,跌破均线&移动止盈&唐奇安下轨&双均线死叉,61.19,4.58,-51.48,12,41.67,0.09
唐奇安突破,吊灯ATR/移动止盈/唐奇安下轨/双均线死叉,26.1,2.2,-33.17,86,43.02,0.07
唐奇安突破,吊灯ATR&移动止盈&唐奇安下轨&双均线死叉,61.19,4.58,-51.48,12,41.67,0.09
唐奇安突破,跌破均线/吊灯ATR/移动止盈/唐奇安下轨/双均线死叉,45.79,3.6,-26.28,89,47.19,0.14
唐奇安突破,跌破均线&吊灯ATR&移动止盈&唐奇安下轨&双均线死叉,61.19,4.58,-51.48,12,41.67,0.09
均线多头排列,跌破均线,-20.83,-2.17,-40.66,50,20.0,-0.05
均线多头排列,吊灯ATR,-42.69,-5.09,-55.34,38,23.68,-0.09
均线多头排列,移动止盈,-33.38,-3.74,-56.17,17,23.53,-0.07
均线多头排列,唐奇安下轨,-13.56,-1.36,-39.81,35,25.71,-0.03
均线多头排列,双均线死叉,-17.03,-1.74,-48.66,51,45.1,-0.04
均线多头排列,跌破均线/吊灯ATR,-23.67,-2.5,-40.52,52,21.15,-0.06
均线多头排列,跌破均线&吊灯ATR,-43.57,-5.22,-57.7,37,21.62,-0.09
均线多头排列,跌破均线/移动止盈,-24.74,-2.63,-43.58,51,19.61,-0.06
均线多头排列,跌破均线&移动止盈,-35.22,-3.99,-57.38,17,23.53,-0.07
均线多头排列,跌破均线/唐奇安下轨,-20.83,-2.17,-40.66,50,20.0,-0.05
均线多头排列,跌破均线&唐奇安下轨,-13.56,-1.36,-39.81,35,25.71,-0.03
均线多头排列,跌破均线/双均线死叉,-16.04,-1.63,-36.9,74,36.49,-0.04
均线多头排列,跌破均线&双均线死叉,-3.89,-0.37,-49.76,22,22.73,-0.01
均线多头排列,吊灯ATR/移动止盈,-42.69,-5.09,-55.34,38,23.68,-0.09
均线多头排列,吊灯ATR&移动止盈,-33.38,-3.74,-56.17,17,23.53,-0.07
均线多头排列,吊灯ATR/唐奇安下轨,-29.53,-3.23,-45.08,42,23.81,-0.07
均线多头排列,吊灯ATR&唐奇安下轨,-26.56,-2.85,-44.95,31,22.58,-0.06
均线多头排列,吊灯ATR/双均线死叉,-34.48,-3.89,-44.56,66,40.91,-0.09
均线多头排列,吊灯ATR&双均线死叉,-12.34,-1.23,-48.66,21,23.81,-0.03
均线多头排列,移动止盈/唐奇安下轨,-17.83,-1.82,-39.81,36,25.0,-0.05
均线多头排列,移动止盈&唐奇安下轨,-29.92,-3.28,-53.9,16,25.0,-0.06
均线多头排列,移动止盈/双均线死叉,-35.14,-3.98,-48.84,56,42.86,-0.08
均线多头排列,移动止盈&双均线死叉,-8.51,-0.83,-52.28,12,16.67,-0.02
均线多头排列,唐奇安下轨/双均线死叉,-8.63,-0.84,-31.25,63,42.86,-0.03
均线多头排列,唐奇安下轨&双均线死叉,-9.78,-0.96,-49.32,18,22.22,-0.02
均线多头排列,跌破均线/吊灯ATR/移动止盈,-23.67,-2.5,-40.52,52,21.15,-0.06
均线多头排列,跌破均线&吊灯ATR&移动止盈,-35.22,-3.99,-57.38,17,23.53,-0.07
均线多头排列,跌破均线/吊灯ATR/唐奇安下轨,-23.67,-2.5,-40.52,52,21.15,-0.06
均线多头排列,跌破均线&吊灯ATR&唐奇安下轨,-26.56,-2.85,-44.95,31,22.58,-0.06
均线多头排列,跌破均线/吊灯ATR/双均线死叉,-18.85,-1.94,-36.6,75,37.33,-0.05
均线多头排列,跌破均线&吊灯ATR&双均线死叉,-19.55,-2.02,-53.21,19,26.32,-0.04
均线多头排列,跌破均线/移动止盈/唐奇安下轨,-24.74,-2.63,-43.58,51,19.61,-0.06
均线多头排列,跌破均线&移动止盈&唐奇安下轨,-29.92,-3.28,-53.9,16,25.0,-0.06
均线多头排列,跌破均线/移动止盈/双均线死叉,-16.04,-1.63,-36.9,74,36.49,-0.04
均线多头排列,跌破均线&移动止盈&双均线死叉,-15.32,-1.55,-50.72,11,18.18,-0.03
均线多头排列,跌破均线/唐奇安下轨/双均线死叉,-16.04,-1.63,-36.9,74,36.49,-0.04
均线多头排列,跌破均线&唐奇安下轨&双均线死叉,-9.78,-0.96,-49.32,18,22.22,-0.02
均线多头排列,吊灯ATR/移动止盈/唐奇安下轨,-29.53,-3.23,-45.08,42,23.81,-0.07
均线多头排列,吊灯ATR&移动止盈&唐奇安下轨,-29.92,-3.28,-53.9,16,25.0,-0.06
均线多头排列,吊灯ATR/移动止盈/双均线死叉,-34.48,-3.89,-44.56,66,40.91,-0.09
均线多头排列,吊灯ATR&移动止盈&双均线死叉,-8.51,-0.83,-52.28,12,16.67,-0.02
均线多头排列,吊灯ATR/唐奇安下轨/双均线死叉,-25.33,-2.7,-36.48,69,40.58,-0.07
均线多头排列,吊灯ATR&唐奇安下轨&双均线死叉,-21.15,-2.2,-51.13,17,17.65,-0.04
均线多头排列,移动止盈/唐奇安下轨/双均线死叉,-8.63,-0.84,-31.25,63,42.86,-0.03
均线多头排列,移动止盈&唐奇安下轨&双均线死叉,-14.86,-1.5,-49.9,10,20.0,-0.03
均线多头排列,跌破均线/吊灯ATR/移动止盈/唐奇安下轨,-23.67,-2.5,-40.52,52,21.15,-0.06
均线多头排列,跌破均线&吊灯ATR&移动止盈&唐奇安下轨,-29.92,-3.28,-53.9,16,25.0,-0.06
均线多头排列,跌破均线/吊灯ATR/移动止盈/双均线死叉,-18.85,-1.94,-36.6,75,37.33,-0.05
均线多头排列,跌破均线&吊灯ATR&移动止盈&双均线死叉,-15.32,-1.55,-50.72,11,18.18,-0.03
均线多头排列,跌破均线/吊灯ATR/唐奇安下轨/双均线死叉,-18.85,-1.94,-36.6,75,37.33,-0.05
均线多头排列,跌破均线&吊灯ATR&唐奇安下轨&双均线死叉,-21.15,-2.2,-51.13,17,17.65,-0.04
均线多头排列,跌破均线/移动止盈/唐奇安下轨/双均线死叉,-16.04,-1.63,-36.9,74,36.49,-0.04
均线多头排列,跌破均线&移动止盈&唐奇安下轨&双均线死叉,-14.86,-1.5,-49.9,10,20.0,-0.03
均线多头排列,吊灯ATR/移动止盈/唐奇安下轨/双均线死叉,-25.33,-2.7,-36.48,69,40.58,-0.07
均线多头排列,吊灯ATR&移动止盈&唐奇安下轨&双均线死叉,-14.86,-1.5,-49.9,10,20.0,-0.03
均线多头排列,跌破均线/吊灯ATR/移动止盈/唐奇安下轨/双均线死叉,-18.85,-1.94,-36.6,75,37.33,-0.05
均线多头排列,跌破均线&吊灯ATR&移动止盈&唐奇安下轨&双均线死叉,-14.86,-1.5,-49.9,10,20.0,-0.03
MACD金叉,跌破均线,5.77,0.53,-38.73,68,30.88,0.01
MACD金叉,吊灯ATR,16.5,1.44,-37.91,47,29.79,0.04
MACD金叉,移动止盈,28.49,2.38,-45.93,20,45.0,0.05
MACD金叉,唐奇安下轨,63.73,4.73,-37.66,50,30.0,0.13
MACD金叉,双均线死叉,9.89,0.89,-48.66,37,43.24,0.02
MACD金叉,跌破均线/吊灯ATR,-0.08,-0.01,-38.45,69,30.43,-0.0
MACD金叉,跌破均线&吊灯ATR,23.31,1.98,-38.8,46,30.43,0.05
MACD金叉,跌破均线/移动止盈,1.77,0.16,-38.73,68,30.88,0.0
MACD金叉,跌破均线&移动止盈,30.54,2.53,-45.06,20,45.0,0.06
MACD金叉,跌破均线/唐奇安下轨,5.77,0.53,-38.73,68,30.88,0.01
MACD金叉,跌破均线&唐奇安下轨,63.73,4.73,-37.66,50,30.0,0.13
MACD金叉,跌破均线/双均线死叉,12.05,1.07,-37.3,70,37.14,0.03
MACD金叉,跌破均线&双均线死叉,17.71,1.54,-58.79,31,29.03,0.03
MACD金叉,吊灯ATR/移动止盈,16.5,1.44,-37.91,47,29.79,0.04
MACD金叉,吊灯ATR&移动止盈,28.49,2.38,-45.93,20,45.0,0.05
MACD金叉,吊灯ATR/唐奇安下轨,29.5,2.45,-35.73,56,30.36,0.07
MACD金叉,吊灯ATR&唐奇安下轨,44.71,3.53,-35.07,41,31.71,0.1
MACD金叉,吊灯ATR/双均线死叉,-3.41,-0.33,-41.44,58,34.48,-0.01
MACD金叉,吊灯ATR&双均线死叉,54.33,4.15,-48.66,26,34.62,0.09
MACD金叉,移动止盈/唐奇安下轨,47.49,3.71,-37.66,51,29.41,0.1
MACD金叉,移动止盈&唐奇安下轨,39.89,3.2,-39.97,19,47.37,0.08
